# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       3.795866129376e-13       8.015815604887e-15      -3.251390350745e-14       0.000000000000e+00       9.706883595550e-09       7.077825019427e-12      -2.760180380993e-12 
    3       4.772510072471e-13       1.357282223911e-14      -3.708900547739e-14       0.000000000000e+00       5.961967171102e-09       3.610883900642e-12      -2.427625667510e-12 
    4       5.981245317419e-13       1.584672457814e-14      -3.746234716696e-14       0.000000000000e+00       4.142743951074e-09       2.170218082956e-12      -1.936476839202e-12 
    5       7.402415201537e-13       1.465420421134e-14      -3.616039902267e-14       0.000000000000e+00       3.091151601872e-09       1.460887822040e-12      -1.437295923660e-12 
    6       9.018441249659e-13       1.130714318725e-14      -3.449221405771e-14       0.000000000000e+00       2.414098226496e-09       1.054698535210e-12      -9.820945612402e-13 
    7       1.082943635732e-12       7.494043945502e-15      -3.317443669122e-14       0.000000000000e+00       1.947701025845e-09       7.972480400683e-13      -5.973933794582e-13 
    8       1.283015843773e-12       4.428526461767e-15      -3.249839692832e-14       0.000000000000e+00       1.609988273682e-09       6.294534568246e-13      -2.950266365749e-13 
    9       1.500487214234e-12       2.560402831420e-15      -3.250577572746e-14       0.000000000000e+00       1.355811568031e-09       5.236944733798e-13      -7.677906404498e-14 
   10       1.737324237128e-12       1.723174486613e-15      -3.304576508475e-14       0.000000000000e+00       1.158718118461e-09       4.611546200168e-13       6.320950839317e-14 
   11       1.995063386802e-12       1.476118634488e-15      -3.390380427404e-14       0.000000000000e+00       9.774027245146e-10       4.276839178412e-13       1.354856275753e-13 
   12       2.272644825982e-12       1.413101631744e-15      -3.491629536279e-14       0.000000000000e+00       8.540374707703e-10       4.336651032365e-13       1.561326708454e-13 
   13       2.569023036600e-12       1.317009317604e-15      -3.601028553380e-14       0.000000000000e+00       7.527694278336e-10       4.277197328525e-13       1.402845888544e-13 
   14       2.883038833442e-12       1.157074768374e-15      -3.718842660868e-14       0.000000000000e+00       6.685123936867e-10       4.436635135122e-13       1.019309579166e-13 
   15       3.214136080417e-12       9.990009413314e-16      -3.849175746431e-14       0.000000000000e+00       5.975909373889e-10       4.500264395873e-13       5.451157537770e-14 
   16       3.563160943770e-12       9.100712139158e-16      -4.000891810209e-14       0.000000000000e+00       5.372916287808e-10       4.545225722686e-13       8.013479573082e-15 
   17       3.930488862628e-12       9.094626553896e-16      -4.187345299016e-14       0.000000000000e+00       4.855648638168e-10       4.597200322016e-13      -3.059940214814e-14 
   18       4.316505704846e-12       9.671704894251e-16      -4.421989385879e-14       0.000000000000e+00       4.406684218122e-10       4.693760615592e-13      -5.742937103804e-14 
   19       4.721514773693e-12       1.047315639450e-15      -4.719537832525e-14       0.000000000000e+00       4.018896334986e-10       4.824922532422e-13      -7.149283863393e-14 
   20       5.145580671765e-12       1.113092000801e-15      -5.094305026195e-14       0.000000000000e+00       3.677346762218e-10       4.950745350237e-13      -7.367951557266e-14 
   21       5.588816294123e-12       1.167799710737e-15      -5.558206583479e-14       0.000000000000e+00       3.376674292741e-10       5.061142508335e-13      -6.633740860974e-14 
   22       6.051193673460e-12       1.231426094717e-15      -6.120587029520e-14       0.000000000000e+00       3.109687518974e-10       5.159138566683e-13      -5.315256999542e-14 
   23       6.532609945806e-12       1.325128775846e-15      -6.787624966655e-14       0.000000000000e+00       2.872718027301e-10       5.267553017558e-13      -3.737230827938e-14 
   24       7.032815737685e-12       1.469123266129e-15      -7.562163136902e-14       0.000000000000e+00       2.660290510318e-10       5.410701559499e-13      -2.241158982441e-14 
   25       7.551626964002e-12       1.663872512868e-15      -8.444230141459e-14       0.000000000000e+00       2.469909265468e-10       5.571833314299e-13      -1.029447163963e-14 
   26       8.088759101037e-12       1.901763382929e-15      -9.430478764626e-14       0.000000000000e+00       2.298131521235e-10       5.718936793677e-13      -2.486690394338e-15 
   27       8.643832925160e-12       2.175807614995e-15      -1.051527374357e-13       0.000000000000e+00       2.142897829733e-10       5.834670728011e-13       7.960038464972e-16 
   28       9.216351021465e-12       2.479007340511e-15      -1.169048058478e-13       0.000000000000e+00       2.001532664521e-10       5.909906193538e-13      -2.576742341311e-17 
   29       9.805875276685e-12       2.810801959221e-15      -1.294906667683e-13       0.000000000000e+00       1.873314875928e-10       5.960342751004e-13      -4.068245144425e-15 
   30       1.041187494188e-11       3.172496026892e-15      -1.428224921815e-13       0.000000000000e+00       1.756868495629e-10       6.014213860582e-13      -9.983800405754e-15 
   31       1.103370143553e-11       3.564712687052e-15      -1.567973401355e-13       0.000000000000e+00       1.649819267317e-10       6.098244336825e-13      -1.619293649786e-14 
   32       1.167074028085e-11       3.985123569445e-15      -1.713498160157e-13       0.000000000000e+00       1.551615187671e-10       6.205581494849e-13      -2.174639311520e-14 
   33       1.232229496562e-11       4.429758118436e-15      -1.864175769790e-13       0.000000000000e+00       1.461562658559e-10       6.315396132951e-13      -2.575657441504e-14 
   34       1.298757647491e-11       4.895196317507e-15      -2.019366446824e-13       0.000000000000e+00       1.378402461708e-10       6.406458898075e-13      -2.740882204587e-14 
   35       1.366584292945e-11       5.384425594462e-15      -2.178742842486e-13       0.000000000000e+00       1.301709546053e-10       6.477220566011e-13      -2.681303084433e-14 
   36       1.435629478492e-11       5.903109243681e-15      -2.342078872421e-13       0.000000000000e+00       1.230869177928e-10       6.532661196879e-13      -2.446172973550e-14 
   37       1.505806577643e-11       6.457096170014e-15      -2.509206783654e-13       0.000000000000e+00       1.164960013250e-10       6.578025795391e-13      -2.096168005559e-14 
   38       1.577034276565e-11       7.048870870646e-15      -2.680153734054e-13       0.000000000000e+00       1.103812117154e-10       6.615173533351e-13      -1.683794013471e-14 
   39       1.649227659258e-11       7.679979735994e-15      -2.855060582254e-13       0.000000000000e+00       1.047231795030e-10       6.645070257961e-13      -1.268160246235e-14 
   40       1.722294460919e-11       8.351979482148e-15      -3.034154534183e-13       0.000000000000e+00       9.946797480093e-11       6.668761842898e-13      -9.212544950410e-15 
   41       1.796138335734e-11       9.066164516267e-15      -3.217709739551e-13       0.000000000000e+00       9.454590395427e-11       6.687249553859e-13      -7.098312018449e-15 
   42       1.870670949468e-11       9.822646524909e-15      -3.405896330514e-13       0.000000000000e+00       8.994250630789e-11       6.701075275641e-13      -6.320674567004e-15 
   43       1.945803116362e-11       1.062097229681e-14      -3.598894369511e-13       0.000000000000e+00       8.564559473546e-11       6.710595712343e-13      -6.616287751522e-15 
   44       2.021441287518e-11       1.146034872458e-14      -3.796940146884e-13       0.000000000000e+00       8.162395104587e-11       6.716080643534e-13      -7.643054904206e-15 
   45       2.097490586465e-11       1.233994283717e-14      -4.000258686712e-13       0.000000000000e+00       7.783848331099e-11       6.717754700113e-13      -9.028434295089e-15 
   46       2.173865388410e-11       1.325993689128e-14      -4.208827805965e-13       0.000000000000e+00       7.428324603834e-11       6.715965126345e-13      -1.054347719666e-14 
   47       2.250481621989e-11       1.422075403975e-14      -4.422550301047e-13       0.000000000000e+00       7.095410602667e-11       6.711044291544e-13      -1.197223313059e-14 
   48       2.327253860865e-11       1.522276342208e-14      -4.641319179670e-13       0.000000000000e+00       6.783636953573e-11       6.703252196257e-13      -1.306098778793e-14 
   49       2.404095342437e-11       1.626627823525e-14      -4.865017531548e-13       0.000000000000e+00       6.490399692582e-11       6.692767863989e-13      -1.351628758304e-14 
   50       2.480920129002e-11       1.735155617044e-14      -5.093510111918e-13       0.000000000000e+00       6.212744685913e-11       6.679725837182e-13      -1.309872463297e-14 
   51       2.557650239397e-11       1.847880533884e-14      -5.326615698806e-13       0.000000000000e+00       5.950154108468e-11       6.664357315107e-13      -1.193888592364e-14 
   52       2.634210485505e-11       1.964817661957e-14      -5.564127008939e-13       0.000000000000e+00       5.702380569057e-11       6.646872446319e-13      -1.030375029373e-14 
   53       2.710526615700e-11       2.085975965957e-14      -5.805817822156e-13       0.000000000000e+00       5.468613233882e-11       6.627412240876e-13      -8.510894451588e-15 
   54       2.786525434383e-11       2.211358105574e-14      -6.051442462115e-13       0.000000000000e+00       5.247439900192e-11       6.606042084617e-13      -6.931023902188e-15 
   55       2.862136160196e-11       2.340961652797e-14      -6.300758708281e-13       0.000000000000e+00       5.037277967759e-11       6.582724166589e-13      -5.901199002656e-15 
   56       2.937294621964e-11       2.474783514430e-14      -6.553604386817e-13       0.000000000000e+00       4.837879612623e-11       6.557241598452e-13      -5.433471676186e-15 
   57       3.011940314489e-11       2.612816289808e-14      -6.809838896940e-13       0.000000000000e+00       4.649134099850e-11       6.529244084446e-13      -5.438300920134e-15 
   58       3.086015415337e-11       2.755046843455e-14      -7.069321831700e-13       0.000000000000e+00       4.470612416337e-11       6.498260208432e-13      -5.806588264519e-15 
   59       3.159464952627e-11       2.901456177808e-14      -7.331913371607e-13       0.000000000000e+00       4.301547613220e-11       6.463690126598e-13      -6.408729288373e-15 
   60       3.232236972835e-11       3.052019305935e-14      -7.597474678236e-13       0.000000000000e+00       4.140815148273e-11       6.424798260169e-13      -7.093665136088e-15 
   61       3.304282652941e-11       3.206701435633e-14      -7.865866242153e-13       0.000000000000e+00       3.987245199641e-11       6.380934981069e-13      -7.719973989271e-15 
   62       3.375556286723e-11       3.365445808732e-14      -8.136941602852e-13       0.000000000000e+00       3.840685996669e-11       6.332276347222e-13      -8.259446372352e-15 
   63       3.446015593133e-11       3.528182893910e-14      -8.410552911252e-13       0.000000000000e+00       3.701145368543e-11       6.279238197514e-13      -8.715181138847e-15 
   64       3.515621934397e-11       3.694833594990e-14      -8.686553173204e-13       0.000000000000e+00       3.568470890521e-11       6.222261769958e-13      -9.091663786277e-15 
   65       3.584340482054e-11       3.865309006622e-14      -8.964796578199e-13       0.000000000000e+00       3.442340759531e-11       6.161813660180e-13      -9.394834576073e-15 
   66       3.652140382982e-11       4.039510169971e-14      -9.245138828073e-13       0.000000000000e+00       3.322254669778e-11       6.098385779898e-13      -9.632156653483e-15 
   67       3.718994925424e-11       4.217327828400e-14      -9.527437465719e-13       0.000000000000e+00       3.207524688341e-11       6.032495315403e-13      -9.812684167483e-15 
   68       3.784880074826e-11       4.398652564497e-14      -9.811547891395e-13       0.000000000000e+00       3.097458994500e-11       5.964628213600e-13      -9.946346290965e-15 
   69       3.849769365686e-11       4.583408142465e-14      -1.009730973957e-12       0.000000000000e+00       2.991976726199e-11       5.895056435528e-13      -1.004147854745e-14 
   70       3.913638268168e-11       4.771524513920e-14      -1.038455831948e-12       0.000000000000e+00       2.891101898620e-11       5.823983428870e-13      -1.010691134140e-14 
   71       3.976465848821e-11       4.962928055137e-14      -1.067312889780e-12       0.000000000000e+00       2.794777446932e-11       5.751595864877e-13      -1.015275700328e-14 
   72       4.038234894919e-11       5.157541588242e-14      -1.096285691706e-12       0.000000000000e+00       2.702861034474e-11       5.678062152543e-13      -1.019045785580e-14 
   73       4.098932038799e-11       5.355284402405e-14      -1.125357821404e-12       0.000000000000e+00       2.615120860928e-11       5.603530952776e-13      -1.023283428010e-14 
   74       4.158547882192e-11       5.556072275032e-14      -1.154512923822e-12       0.000000000000e+00       2.531231470499e-11       5.528129692573e-13      -1.029413278196e-14 
   75       4.217077120565e-11       5.759817492960e-14      -1.183734727016e-12       0.000000000000e+00       2.450769560095e-11       5.451963079193e-13      -1.039007405802e-14 
   76       4.274516142186e-11       5.966414044287e-14      -1.213005933145e-12       0.000000000000e+00       2.373319060076e-11       5.375164154866e-13      -1.053336779180e-14 
   77       4.330855045009e-11       6.175690029504e-14      -1.242304609697e-12       0.000000000000e+00       2.298817764892e-11       5.298061493735e-13      -1.071920653676e-14 
   78       4.386084383163e-11       6.387446570490e-14      -1.271607176806e-12       0.000000000000e+00       2.227266590194e-11       5.221039936285e-13      -1.093720160955e-14 
   79       4.440197634452e-11       6.601471591692e-14      -1.300889478402e-12       0.000000000000e+00       2.158623988313e-11       5.144490351795e-13      -1.117563752279e-14 
   80       4.493191272909e-11       6.817539537221e-14      -1.330126780855e-12       0.000000000000e+00       2.092803997164e-11       5.068809229898e-13      -1.142142709285e-14 
   81       4.545064841355e-11       7.035411087970e-14      -1.359293771634e-12       0.000000000000e+00       2.029674289143e-11       4.994398272135e-13      -1.166006654773e-14 
   82       4.595821023947e-11       7.254832878705e-14      -1.388364557958e-12       0.000000000000e+00       1.969054220031e-11       4.921663983521e-13      -1.187559063485e-14 
   83       4.645465718733e-11       7.475537215182e-14      -1.417312665448e-12       0.000000000000e+00       1.910712877891e-11       4.851017264104e-13      -1.205052772893e-14 
   84       4.694005496450e-11       7.697267157427e-14      -1.446112926061e-12       0.000000000000e+00       1.854425203256e-11       4.782769827056e-13      -1.216952782672e-14 
   85       4.741439333941e-11       7.919857167048e-14      -1.474747504454e-12       0.000000000000e+00       1.800155313061e-11       4.716804617768e-13      -1.223103591324e-14 
