# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       5.938433418344e-11       8.015815604887e-15      -2.909879149253e-13       0.000000000000e+00       9.706883595550e-09       6.970967166239e-10      -2.760180380993e-12 
    3       4.120644204853e-11       1.357282223911e-14      -2.706911294127e-13       0.000000000000e+00       5.961967171102e-09       4.583122019281e-10      -2.427625667510e-12 
    4       3.106245367496e-11       1.584672457814e-14      -2.376570226871e-13       0.000000000000e+00       4.142743951074e-09       3.321178874189e-10      -1.936476839202e-12 
    5       2.469646298463e-11       1.465420421134e-14      -2.030887160754e-13       0.000000000000e+00       3.091151601872e-09       2.551568014136e-10      -1.437295923660e-12 
    6       2.037234918713e-11       1.130714318725e-14      -1.683029838162e-13       0.000000000000e+00       2.414098226496e-09       2.037040843963e-10      -9.820945612402e-13 
    7       1.727300673806e-11       7.494043945502e-15      -1.341401038993e-13       0.000000000000e+00       1.947701025845e-09       1.671832797284e-10      -5.973933794582e-13 
    8       1.496186140261e-11       4.428526461767e-15      -1.017233296346e-13       0.000000000000e+00       1.609988273682e-09       1.401020878443e-10      -2.950266365749e-13 
    9       1.318499435224e-11       2.560402831420e-15      -7.228868539092e-14       0.000000000000e+00       1.355811568031e-09       1.193444787419e-10      -7.677906404498e-14 
   10       1.178505278271e-11       1.723174486613e-15      -4.689322055936e-14       0.000000000000e+00       1.158718118461e-09       1.030182028791e-10       6.320950839317e-14 
   11       1.065949467154e-11       1.476118634488e-15      -2.623877742410e-14       0.000000000000e+00       9.774027245146e-10       8.917165103651e-11       1.354856275753e-13 
   12       9.738637762077e-12       1.413101631744e-15      -1.061485448839e-14       0.000000000000e+00       8.540374707703e-10       7.853670947583e-11       1.561326708454e-13 
   13       8.973559335495e-12       1.317009317604e-15       8.197073483610e-17       0.000000000000e+00       7.527694278336e-10       6.969587966079e-11       1.402845888544e-13 
   14       8.328793602184e-12       1.157074768374e-15       6.281829909307e-15       0.000000000000e+00       6.685123936867e-10       6.228393533791e-11       1.019309579166e-13 
   15       7.778031017579e-12       9.990009413314e-16       8.650681721620e-15       0.000000000000e+00       5.975909373889e-10       5.597787316901e-11       5.451157537770e-14 
   16       7.301506495525e-12       9.100712139158e-16       7.993372724469e-15       0.000000000000e+00       5.372916287808e-10       5.056595167147e-11       8.013479573082e-15 
   17       6.884131786688e-12       9.094626553896e-16       5.155354484719e-15       0.000000000000e+00       4.855648638168e-10       4.588482021726e-11      -3.059940214814e-14 
   18       6.512858816621e-12       9.671704894251e-16       9.664965701236e-16       0.000000000000e+00       4.406684218122e-10       4.179454954613e-11      -5.742937103804e-14 
   19       6.182854564131e-12       1.047315639450e-15      -3.954280965618e-15       0.000000000000e+00       4.018896334986e-10       3.823672639783e-11      -7.149283863393e-14 
   20       5.882395066966e-12       1.113092000801e-15      -8.950921817048e-15       0.000000000000e+00       3.677346762218e-10       3.508270606153e-11      -7.367951557266e-14 
   21       5.607930568334e-12       1.167799710737e-15      -1.364089060975e-14       0.000000000000e+00       3.376674292741e-10       3.228889400262e-11      -6.633740860974e-14 
   22       5.353919796760e-12       1.231426094717e-15      -1.773843167063e-14       0.000000000000e+00       3.109687518974e-10       2.979480679298e-11      -5.315256999542e-14 
   23       5.118004949529e-12       1.325128775846e-15      -2.110514024997e-14       0.000000000000e+00       2.872718027301e-10       2.757138987614e-11      -3.737230827938e-14 
   24       4.896012183468e-12       1.469123266129e-15      -2.368668954564e-14       0.000000000000e+00       2.660290510318e-10       2.557233846419e-11      -2.241158982441e-14 
   25       4.686519003313e-12       1.663872512868e-15      -2.550309023319e-14       0.000000000000e+00       2.469909265468e-10       2.377469341492e-11      -1.029447163963e-14 
   26       4.487093597331e-12       1.901763382929e-15      -2.663559694697e-14       0.000000000000e+00       2.298131521235e-10       2.214538378404e-11      -2.486690394338e-15 
   27       4.296587164166e-12       2.175807614995e-15      -2.718240941349e-14       0.000000000000e+00       2.142897829733e-10       2.066568455204e-11       7.960038464972e-16 
   28       4.113182766444e-12       2.479007340511e-15      -2.726863072121e-14       0.000000000000e+00       2.001532664521e-10       1.931173030205e-11      -2.576742341311e-17 
   29       3.937022300228e-12       2.810801959221e-15      -2.697713404867e-14       0.000000000000e+00       1.873314875928e-10       1.807823526788e-11      -4.068245144425e-15 
   30       3.767534992455e-12       3.172496026892e-15      -2.640275652609e-14       0.000000000000e+00       1.756868495629e-10       1.695410892953e-11      -9.983800405754e-15 
   31       3.603083302207e-12       3.564712687052e-15      -2.565680565064e-14       0.000000000000e+00       1.649819267317e-10       1.591884935119e-11      -1.619293649786e-14 
   32       3.443865759165e-12       3.985123569445e-15      -2.480045700497e-14       0.000000000000e+00       1.551615187671e-10       1.496748863907e-11      -2.174639311520e-14 
   33       3.289862377908e-12       4.429758118436e-15      -2.388837441058e-14       0.000000000000e+00       1.461562658559e-10       1.409308961505e-11      -2.575657441504e-14 
   34       3.140402998213e-12       4.895196317507e-15      -2.297887454165e-14       0.000000000000e+00       1.378402461708e-10       1.328337178133e-11      -2.740882204587e-14 
   35       2.995693126171e-12       5.384425594462e-15      -2.210706226010e-14       0.000000000000e+00       1.301709546053e-10       1.253467365365e-11      -2.681303084433e-14 
   36       2.855674922838e-12       5.903109243681e-15      -2.130249292954e-14       0.000000000000e+00       1.230869177928e-10       1.184179326411e-11      -2.446172973550e-14 
   37       2.719899378959e-12       6.457096170014e-15      -2.059187896644e-14       0.000000000000e+00       1.164960013250e-10       1.119657136267e-11      -2.096168005559e-14 
   38       2.588724433121e-12       7.048870870646e-15      -1.998436045780e-14       0.000000000000e+00       1.103812117154e-10       1.059747858108e-11      -1.683794013471e-14 
   39       2.462418520240e-12       7.679979735994e-15      -1.948083687753e-14       0.000000000000e+00       1.047231795030e-10       1.004255641558e-11      -1.268160246235e-14 
   40       2.340782080754e-12       8.351979482148e-15      -1.907734879605e-14       0.000000000000e+00       9.946797480093e-11       9.526474600636e-12      -9.212544950410e-15 
   41       2.223377475380e-12       9.066164516267e-15      -1.876393194808e-14       0.000000000000e+00       9.454590395427e-11       9.042403293633e-12      -7.098312018449e-15 
   42       2.110417246737e-12       9.822646524909e-15      -1.852179182520e-14       0.000000000000e+00       8.994250630789e-11       8.589068645883e-12      -6.320674567004e-15 
   43       2.002089047095e-12       1.062097229681e-14      -1.832446640987e-14       0.000000000000e+00       8.564559473546e-11       8.165499720075e-12      -6.616287751522e-15 
   44       1.898279796870e-12       1.146034872458e-14      -1.813797045219e-14       0.000000000000e+00       8.162395104587e-11       7.768918685740e-12      -7.643054904206e-15 
   45       1.798730741079e-12       1.233994283717e-14      -1.792720560357e-14       0.000000000000e+00       7.783848331099e-11       7.395763947175e-12      -9.028434295089e-15 
   46       1.703619753490e-12       1.325993689128e-14      -1.767862951990e-14       0.000000000000e+00       7.428324603834e-11       7.045465464084e-12      -1.054347719666e-14 
   47       1.613108467621e-12       1.422075403975e-14      -1.738353130896e-14       0.000000000000e+00       7.095410602667e-11       6.717551818573e-12      -1.197223313059e-14 
   48       1.527160687250e-12       1.522276342208e-14      -1.703163055659e-14       0.000000000000e+00       6.783636953573e-11       6.410504777769e-12      -1.306098778793e-14 
   49       1.445526578841e-12       1.626627823525e-14      -1.661098520638e-14       0.000000000000e+00       6.490399692582e-11       6.121681770436e-12      -1.351628758304e-14 
   50       1.367868720008e-12       1.735155617044e-14      -1.611274321888e-14       0.000000000000e+00       6.212744685913e-11       5.848111247912e-12      -1.309872463297e-14 
   51       1.294217254002e-12       1.847880533884e-14      -1.554713179921e-14       0.000000000000e+00       5.950154108468e-11       5.589313136712e-12      -1.193888592364e-14 
   52       1.224610957404e-12       1.964817661957e-14      -1.493164902898e-14       0.000000000000e+00       5.702380569057e-11       5.345109961972e-12      -1.030375029373e-14 
   53       1.158957266791e-12       2.085975965957e-14      -1.428673201430e-14       0.000000000000e+00       5.468613233882e-11       5.114785293535e-12      -8.510894451588e-15 
   54       1.097023146742e-12       2.211358105574e-14      -1.363589270807e-14       0.000000000000e+00       5.247439900192e-11       4.897047299478e-12      -6.931023902188e-15 
   55       1.038525057735e-12       2.340961652797e-14      -1.300130339617e-14       0.000000000000e+00       5.037277967759e-11       4.690431031044e-12      -5.901199002656e-15 
   56       9.834459528950e-13       2.474783514430e-14      -1.238895777756e-14       0.000000000000e+00       4.837879612623e-11       4.494705801373e-12      -5.433471676186e-15 
   57       9.317810346319e-13       2.612816289808e-14      -1.180006148132e-14       0.000000000000e+00       4.649134099850e-11       4.309753590995e-12      -5.438300920134e-15 
   58       8.834403980041e-13       2.755046843455e-14      -1.123521886987e-14       0.000000000000e+00       4.470612416337e-11       4.135142016427e-12      -5.806588264519e-15 
   59       8.382437597550e-13       2.901456177808e-14      -1.069439157549e-14       0.000000000000e+00       4.301547613220e-11       3.970104977130e-12      -6.408729288373e-15 
   60       7.959151873523e-13       3.052019305935e-14      -1.017685703670e-14       0.000000000000e+00       4.140815148273e-11       3.813523302459e-12      -7.093665136088e-15 
   61       7.561592408780e-13       3.206701435633e-14      -9.681518762732e-15       0.000000000000e+00       3.987245199641e-11       3.664233179633e-12      -7.719973989271e-15 
   62       7.189212948112e-13       3.365445808732e-14      -9.208012310239e-15       0.000000000000e+00       3.840685996669e-11       3.522076119097e-12      -8.259446372352e-15 
   63       6.841765607731e-13       3.528182893910e-14      -8.755775106906e-15       0.000000000000e+00       3.701145368543e-11       3.387051395384e-12      -8.715181138847e-15 
   64       6.518511962712e-13       3.694833594990e-14      -8.323686926125e-15       0.000000000000e+00       3.568470890521e-11       3.259000287120e-12      -9.091663786277e-15 
   65       6.218196169075e-13       3.865309006622e-14      -7.910039583518e-15       0.000000000000e+00       3.442340759531e-11       3.137597124220e-12      -9.394834576073e-15 
   66       5.939018085845e-13       4.039510169971e-14      -7.512506633454e-15       0.000000000000e+00       3.322254669778e-11       3.022340335084e-12      -9.632156653483e-15 
   67       5.678606397134e-13       4.217327828400e-14      -7.128113065566e-15       0.000000000000e+00       3.207524688341e-11       2.912543493791e-12      -9.812684167483e-15 
   68       5.434574953300e-13       4.398652564497e-14      -6.754043952790e-15       0.000000000000e+00       3.097458994500e-11       2.807514421524e-12      -9.946346290965e-15 
   69       5.206382778339e-13       4.583408142465e-14      -6.390328402811e-15       0.000000000000e+00       2.991976726199e-11       2.707154644488e-12      -1.004147854745e-14 
   70       4.993804395942e-13       4.771524513920e-14      -6.037647506090e-15       0.000000000000e+00       2.891101898620e-11       2.611465876830e-12      -1.010691134140e-14 
   71       4.796368209760e-13       4.962928055137e-14      -5.696534814681e-15       0.000000000000e+00       2.794777446932e-11       2.520368644723e-12      -1.015275700328e-14 
   72       4.613344541566e-13       5.157541588242e-14      -5.367367495305e-15       0.000000000000e+00       2.702861034474e-11       2.433698143130e-12      -1.019045785580e-14 
   73       4.443733669412e-13       5.355284402405e-14      -5.050357482436e-15       0.000000000000e+00       2.615120860928e-11       2.351200092571e-12      -1.023283428010e-14 
   74       4.286253865794e-13       5.556072275032e-14      -4.745542631367e-15       0.000000000000e+00       2.531231470499e-11       2.272526595888e-12      -1.029413278196e-14 
   75       4.139329435810e-13       5.759817492960e-14      -4.452777871299e-15       0.000000000000e+00       2.450769560095e-11       2.197231995018e-12      -1.039007405802e-14 
   76       4.001425246268e-13       5.966414044287e-14      -4.171824594267e-15       0.000000000000e+00       2.373319060076e-11       2.124881832588e-12      -1.053336779180e-14 
   77       3.872147182148e-13       6.175690029504e-14      -3.902657197021e-15       0.000000000000e+00       2.298817764892e-11       2.055411834737e-12      -1.071920653676e-14 
   78       3.751321563768e-13       6.387446570490e-14      -3.645196625173e-15       0.000000000000e+00       2.227266590194e-11       1.988827167263e-12      -1.093720160955e-14 
   79       3.638661680187e-13       6.601471591692e-14      -3.399210374417e-15       0.000000000000e+00       2.158623988313e-11       1.925093343787e-12      -1.117563752279e-14 
   80       3.533762932442e-13       6.817539537221e-14      -3.164305658011e-15       0.000000000000e+00       2.092803997164e-11       1.864134401823e-12      -1.142142709285e-14 
   81       3.436097976787e-13       7.035411087970e-14      -2.939922574260e-15       0.000000000000e+00       2.029674289143e-11       1.805831078852e-12      -1.166006654773e-14 
   82       3.345011867934e-13       7.254832878705e-14      -2.725327274000e-15       0.000000000000e+00       1.969054220031e-11       1.750018988399e-12      -1.187559063485e-14 
   83       3.259717202284e-13       7.475537215182e-14      -2.519605128082e-15       0.000000000000e+00       1.910712877891e-11       1.696486796100e-12      -1.205052772893e-14 
   84       3.179449376246e-13       7.697267157427e-14      -2.321897993250e-15       0.000000000000e+00       1.854425203256e-11       1.645026086269e-12      -1.216952782672e-14 
   85       3.103972572805e-13       7.919857167048e-14      -2.132176169736e-15       0.000000000000e+00       1.800155313061e-11       1.595594455237e-12      -1.223103591324e-14 
   86       3.033149142183e-13       8.143165373029e-14      -1.950582485814e-15       0.000000000000e+00       1.747900132000e-11       1.548176237065e-12      -1.223748048253e-14 
   87       2.966784810989e-13       8.367049535571e-14      -1.777196888000e-15       0.000000000000e+00       1.697633062621e-11       1.502732275889e-12      -1.219178930064e-14 
