# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.502523303052e-10       8.015815604887e-15       8.380570058402e-13       0.000000000000e+00       9.706883595550e-09      -1.961301064822e-10      -2.760180380993e-12 
    3       1.437284198082e-10       1.357282223911e-14       9.498788682217e-13       0.000000000000e+00       5.961967171102e-09      -1.019461848513e-10      -2.427625667510e-12 
    4       1.390857856976e-10       1.584672457814e-14       9.341155783400e-13       0.000000000000e+00       4.142743951074e-09      -6.147139059959e-11      -1.936476839202e-12 
    5       1.355412910822e-10       1.465420421134e-14       8.554004688320e-13       0.000000000000e+00       3.091151601872e-09      -4.089237481683e-11      -1.437295923660e-12 
    6       1.326630953617e-10       1.130714318725e-14       7.502928912210e-13       0.000000000000e+00       2.414098226496e-09      -2.911260421177e-11      -9.820945612402e-13 
    7       1.302039724871e-10       7.494043945502e-15       6.407824839927e-13       0.000000000000e+00       1.947701025845e-09      -2.185269943842e-11      -5.973933794582e-13 
    8       1.279783396274e-10       4.428526461767e-15       5.384244346119e-13       0.000000000000e+00       1.609988273682e-09      -1.713016603099e-11      -2.950266365749e-13 
    9       1.259015497717e-10       2.560402831420e-15       4.489118164699e-13       0.000000000000e+00       1.355811568031e-09      -1.390599068343e-11      -7.677906404498e-14 
   10       1.239248876602e-10       1.723174486613e-15       3.746188643537e-13       0.000000000000e+00       1.158718118461e-09      -1.158454413710e-11       6.320950839317e-14 
   11       1.220158844620e-10       1.476118634488e-15       3.160798225004e-13       0.000000000000e+00       9.774027245146e-10      -9.263910344966e-12       1.354856275753e-13 
   12       1.201521053833e-10       1.413101631744e-15       2.726491366613e-13       0.000000000000e+00       8.540374707703e-10      -8.135292394430e-12       1.561326708454e-13 
   13       1.182819242310e-10       1.317009317604e-15       2.428224496884e-13       0.000000000000e+00       7.527694278336e-10      -7.029535012178e-12       1.402845888544e-13 
   14       1.163851815645e-10       1.157074768374e-15       2.246830322577e-13       0.000000000000e+00       6.685123936867e-10      -6.296142724203e-12       1.019309579166e-13 
   15       1.144730177708e-10       9.990009413314e-16       2.162026970323e-13       0.000000000000e+00       5.975909373889e-10      -5.554493469170e-12       5.451157537770e-14 
