# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.817921226517e-07       5.260576969231e-11       2.359791005328e-09       0.000000000000e+00       2.501892025857e-08       3.808906129250e-08       6.117842174005e-10 
    3       8.868254597966e-09       8.186403965976e-12       2.480375889590e-10       0.000000000000e+00       1.080119422865e-08       2.137044088504e-09       4.351353434461e-11 
    4       2.377756686002e-09       2.577816319916e-12       6.510494737190e-11       0.000000000000e+00       7.740548898471e-09       7.940662126027e-10       4.976524391162e-12 
    5       8.461462531908e-10       1.229978582664e-12       2.979461684197e-11       0.000000000000e+00       5.951162480326e-09       5.213559613852e-10      -7.046095608815e-13 
    6       5.215554453725e-10       7.173208931159e-13       1.757675478608e-11       0.000000000000e+00       4.744864164148e-09       4.043952487352e-10      -1.676896991432e-12 
    7       3.966705872471e-10       4.655650627514e-13       1.199329984661e-11       0.000000000000e+00       3.881953714624e-09       3.308677998644e-10      -1.577151972595e-12 
    8       3.377653919853e-10       3.196941708852e-13       8.884107164383e-12       0.000000000000e+00       3.239551226138e-09       2.780187548787e-10      -1.202569317193e-12 
    9       3.065258841215e-10       2.264422603510e-13       6.893965476389e-12       0.000000000000e+00       2.746422201122e-09       2.380504805588e-10      -8.024818382777e-13 
   10       2.880352546537e-10       1.636820621526e-13       5.496355449101e-12       0.000000000000e+00       2.358651639047e-09       2.069232379080e-10      -4.701894092748e-13 
   11       2.764163704724e-10       1.205662538949e-13       4.471056738686e-12       0.000000000000e+00       2.002917751618e-09       1.822244625445e-10      -1.707288038536e-13 
