# dimensionless [l(l+1)/2pi] C_l's for scalar adiabatic (AD) mode
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494813066536e-10       7.287105095351e-15       4.813822612797e-13       0.000000000000e+00       8.824559636744e-09       4.854373995202e-10      -2.509254891812e-12 
    3       1.409112499866e-10       1.233892930828e-14       6.057207938662e-13       0.000000000000e+00       5.420059102370e-09       3.460064734116e-10      -2.206932425009e-12 
    4       1.324541945587e-10       1.440611325286e-14       6.265705258699e-13       0.000000000000e+00       3.766573542281e-09       2.633905427518e-10      -1.760433490178e-12 
    5       1.257515046640e-10       1.332200382849e-14       5.867588504075e-13       0.000000000000e+00       2.811266621617e-09       2.090137722108e-10      -1.306632657840e-12 
    6       1.208126956978e-10       1.027922107932e-14       5.163361921884e-13       0.000000000000e+00       2.196092052322e-09       1.706910618893e-10      -8.928132375280e-13 
    7       1.173414787713e-10       6.812767223183e-15       4.356783388978e-13       0.000000000000e+00       1.771956941814e-09       1.423951402821e-10      -5.430848903615e-13 
    8       1.150193996764e-10       4.025933147059e-15       3.570194167683e-13       0.000000000000e+00       1.464645502779e-09       1.207634490576e-10      -2.682060333066e-13 
    9       1.136010071311e-10       2.327638937651e-15       2.876089095054e-13       0.000000000000e+00       1.233320449156e-09       1.037777526587e-10      -6.979914914766e-14 
   10       1.128723167368e-10       1.566522260552e-15       2.315145001806e-13       0.000000000000e+00       1.053976600730e-09       9.019250708066e-11       5.746318946486e-14 
   11       1.126936508295e-10       1.341926031342e-15       1.904058105713e-13       0.000000000000e+00       8.886597333602e-10       7.947174135159e-11       1.231687523094e-13 
   12       1.129559563170e-10       1.284637847023e-15       1.640077809753e-13       0.000000000000e+00       7.765006300172e-10       7.024912093517e-11       1.419387917802e-13 
   13       1.135404131028e-10       1.197281197796e-15       1.505522724357e-13       0.000000000000e+00       6.844312082152e-10       6.271573178049e-11       1.275314444084e-13 
   14       1.143481282495e-10       1.051886153028e-15       1.474283918344e-13       0.000000000000e+00       6.078273786358e-10       5.618570803944e-11       9.266450735642e-14 
   15       1.153856625028e-10       9.081826738780e-16       1.516989683545e-13       0.000000000000e+00       5.433476408181e-10       5.073058736699e-11       4.955597762675e-14 
   16       1.166128817420e-10       8.273374671087e-16       1.603450988689e-13       0.000000000000e+00       4.885250892451e-10       4.610620844133e-11       7.284981642285e-15 
   17       1.179490221924e-10       8.267842320465e-16       1.708083691853e-13       0.000000000000e+00       4.414963311636e-10       4.211302713598e-11      -2.781763838325e-14 
