# dimensionless [l(l+1)/2pi] C_l's for scalar cross ADxADDCS mode
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       6.802900900386e-10       1.598857664670e-13       1.570150216730e-11       0.000000000000e+00       1.914282909606e-09      -5.594460679809e-11      -1.631599442812e-11 
    3       2.377582673744e-10       1.087660977190e-13       8.532143452925e-12       0.000000000000e+00       1.934856902987e-09       1.255926178571e-10      -5.296915859073e-12 
    4       1.362373877598e-10       7.724385845694e-14       5.612270517592e-12       0.000000000000e+00       1.566150993553e-09       1.182792289708e-10      -2.518972447123e-12 
    5       1.000708462704e-10       5.671063270178e-14       4.098242635674e-12       0.000000000000e+00       1.257026896893e-09       1.004663359000e-10      -1.533389310465e-12 
    6       8.355478448135e-11       4.185553085552e-14       3.180727244222e-12       0.000000000000e+00       1.023098674050e-09       8.468748298233e-11      -1.055956757552e-12 
    7       7.458473731922e-11       3.049771429548e-14       2.564631455862e-12       0.000000000000e+00       8.466318229525e-10       7.154152466250e-11      -7.550804344959e-13 
    8       6.923747290946e-11       2.168876044576e-14       2.115528444204e-12       0.000000000000e+00       7.113985988126e-10       6.095021332459e-11      -5.333089780270e-13 
    9       6.575003249222e-11       1.507742854084e-14       1.766290197708e-12       0.000000000000e+00       6.057790773719e-10       5.259862298140e-11      -3.638028344139e-13 
   10       6.316459182815e-11       1.039135531395e-14       1.486083016221e-12       0.000000000000e+00       5.218142718653e-10       4.599236801787e-11      -2.382473371626e-13 
   11       6.119540590888e-11       7.248671294500e-15       1.261383909103e-12       0.000000000000e+00       4.449502337499e-10       4.079487813234e-11      -1.110638488453e-13 
   12       5.973709225228e-11       5.218363935904e-15       1.082354312409e-12       0.000000000000e+00       3.905620018397e-10       3.663789257556e-11      -6.680418677996e-14 
   13       5.867285677756e-11       3.928800042319e-15       9.386497797007e-13       0.000000000000e+00       3.454636865518e-10       3.250744999249e-11      -4.176586293844e-14 
   14       5.796437042148e-11       3.118878589965e-15       8.209663688619e-13       0.000000000000e+00       3.075662137772e-10       2.926235175336e-11      -3.459916810696e-14 
   15       5.756740951206e-11       2.627754439576e-15       7.222702618840e-13       0.000000000000e+00       2.754272739429e-10       2.655379564724e-11      -3.577859349542e-14 
   16       5.737483153189e-11       2.355866379361e-15       6.375670028502e-13       0.000000000000e+00       2.479350689439e-10       2.424984965559e-11      -4.163760212255e-14 
   17       5.731145656434e-11       2.228925636224e-15       5.634691276271e-13       0.000000000000e+00       2.242327897637e-10       2.216288730486e-11      -4.874646694405e-14 
   18       5.738104399301e-11       2.177727647638e-15       4.974936932658e-13       0.000000000000e+00       2.035724287474e-10       2.024778773625e-11      -5.435790934705e-14 
   19       5.758354945503e-11       2.153944190404e-15       4.386468839914e-13       0.000000000000e+00       1.856549676965e-10       1.855089255307e-11      -5.685154266103e-14 
   20       5.787398265909e-11       2.107933192630e-15       3.850716715461e-13       0.000000000000e+00       1.698307241271e-10       1.708473834329e-11      -5.487411410523e-14 
   21       5.824987819618e-11       2.026296214809e-15       3.363269433003e-13       0.000000000000e+00       1.558684620165e-10       1.581682910626e-11      -4.885628456176e-14 
   22       5.870206135818e-11       1.909274885449e-15       2.918562259550e-13       0.000000000000e+00       1.434467720980e-10       1.467671910056e-11      -4.015188904580e-14 
   23       5.922442297073e-11       1.766952040000e-15       2.515849056143e-13       0.000000000000e+00       1.324036146442e-10       1.363825571989e-11      -3.017868122033e-14 
   24       5.980007788603e-11       1.612910036710e-15       2.152396724085e-13       0.000000000000e+00       1.224928990121e-10       1.267976101095e-11      -2.051596859959e-14 
   25       6.043284994465e-11       1.451929723635e-15       1.828346686278e-13       0.000000000000e+00       1.136030299671e-10       1.180551712825e-11      -1.217041853122e-14 
   26       6.112243387612e-11       1.285363379589e-15       1.542042194383e-13       0.000000000000e+00       1.055775088573e-10       1.101931514126e-11      -5.925593855116e-15 
   27       6.186033673099e-11       1.112189019950e-15       1.291782450541e-13       0.000000000000e+00       9.832221625993e-11       1.031429882291e-11      -2.030191720980e-15 
   28       6.263088410104e-11       9.307311653809e-16       1.073926888922e-13       0.000000000000e+00       9.171390621613e-11       9.675310063765e-12      -4.424578896396e-16 
   29       6.343786351883e-11       7.428772296172e-16       8.860110999924e-14       0.000000000000e+00       8.571971936007e-11       9.096913358852e-12      -8.141326388248e-16 
   30       6.428508039064e-11       5.516818081758e-16       7.235777386089e-14       0.000000000000e+00       8.027630856105e-11       8.570424981745e-12      -2.540390158427e-15 
   31       6.517037154100e-11       3.598588610500e-16       5.801843251846e-14       0.000000000000e+00       7.527389224295e-11       8.082581406067e-12      -4.874405701568e-15 
   32       6.609418923240e-11       1.679986478576e-16       4.524428127130e-14       0.000000000000e+00       7.068681747428e-11       7.630861363152e-12      -7.281031847313e-15 
   33       6.705276677691e-11      -2.442588812187e-17       3.365179796123e-14       0.000000000000e+00       6.648261003293e-11       7.212999222162e-12      -9.195749808173e-15 
   34       6.803882900743e-11      -2.179264664236e-16       2.277617029520e-14       0.000000000000e+00       6.260244625835e-11       6.824346444180e-12      -1.007170904234e-14 
   35       6.905456067928e-11      -4.104001887461e-16       1.245591588045e-14       0.000000000000e+00       5.902638541182e-11       6.463939126153e-12      -9.892333408880e-15 
   36       7.010229770997e-11      -5.988535150910e-16       2.568066304753e-15       0.000000000000e+00       5.572566516925e-11       6.130058678055e-12      -8.841084805991e-15 
   37       7.118155810202e-11      -7.803081613526e-16      -7.030653064863e-15       0.000000000000e+00       5.265723482597e-11       5.819521715299e-12      -7.158210676427e-15 
   38       7.229201642576e-11      -9.525563033665e-16      -1.633785976893e-14       0.000000000000e+00       4.981298256487e-11       5.531571117531e-12      -5.093749740025e-15 
   39       7.343088258202e-11      -1.113677798111e-15      -2.532206549722e-14       0.000000000000e+00       4.718366998503e-11       5.264961128007e-12      -2.946892607582e-15 
   40       7.459166431583e-11      -1.261863542477e-15      -3.396936503826e-14       0.000000000000e+00       4.474395845083e-11       5.016725481040e-12      -1.083987919913e-15 
   41       7.576689127865e-11      -1.395568427901e-15      -4.228974587004e-14       0.000000000000e+00       4.246117306351e-11       4.783223068139e-12       1.504282227414e-16 
   42       7.695818190553e-11      -1.513981702984e-15      -5.033423061023e-14       0.000000000000e+00       4.032839595707e-11       4.564041360817e-12       7.454902857030e-16 
   43       7.816887378251e-11      -1.616743607815e-15      -5.818629537288e-14       0.000000000000e+00       3.833978631515e-11       4.359113702758e-12       8.065848478379e-16 
   44       7.940110679977e-11      -1.703854488937e-15      -6.595985732278e-14       0.000000000000e+00       3.648065403065e-11       4.167569585624e-12       4.730942210091e-16 
   45       8.065589996375e-11      -1.775407241978e-15      -7.378557418717e-14       0.000000000000e+00       3.473265213354e-11       3.988088908784e-12      -9.853104280182e-17 
   46       8.193372444911e-11      -1.830620218459e-15      -8.175994061497e-14       0.000000000000e+00       3.309286167614e-11       3.820247619710e-12      -7.968024253283e-16 
   47       8.323387431739e-11      -1.868565029261e-15      -8.998452359325e-14       0.000000000000e+00       3.155921675521e-11       3.663461350441e-12      -1.507944746574e-15 
   48       8.455415232156e-11      -1.888450180139e-15      -9.858157584568e-14       0.000000000000e+00       3.012475050372e-11       3.516558527900e-12      -2.097285330288e-15 
   49       8.589074826299e-11      -1.889633271287e-15      -1.076952135532e-13       0.000000000000e+00       2.877723167531e-11       3.377738162692e-12      -2.408144084440e-15 
   50       8.723962977362e-11      -1.871569823553e-15      -1.174579315214e-13       0.000000000000e+00       2.750281180383e-11       3.245094739871e-12      -2.309671091811e-15 
   51       8.860144192496e-11      -1.833615078490e-15      -1.278767012229e-13       0.000000000000e+00       2.629897689707e-11       3.118458786325e-12      -1.858242424041e-15 
   52       8.997772729504e-11      -1.775189486863e-15      -1.389179911190e-13       0.000000000000e+00       2.516448314781e-11       2.997982939941e-12      -1.177954832942e-15 
   53       9.136948050851e-11      -1.695846378516e-15      -1.505392843089e-13       0.000000000000e+00       2.409548308545e-11       2.883603357369e-12      -4.166723633070e-16 
   54       9.277709776646e-11      -1.595281179664e-15      -1.626886250720e-13       0.000000000000e+00       2.308535089337e-11       2.775024189962e-12       2.527801543715e-16 
   55       9.420061936704e-11      -1.473258144172e-15      -1.753200061456e-13       0.000000000000e+00       2.212667767920e-11       2.671843856496e-12       6.728797370190e-16 
   56       9.564064344115e-11      -1.329348116897e-15      -1.884450456899e-13       0.000000000000e+00       2.121823790973e-11       2.574006159391e-12       8.366400976542e-16 
   57       9.709755080594e-11      -1.163141769932e-15      -2.020933537231e-13       0.000000000000e+00       2.035944761763e-11       2.481434043838e-12       7.838815401263e-16 
   58       9.857119365694e-11      -9.743322538582e-16      -2.162979762929e-13       0.000000000000e+00       1.954825789720e-11       2.393887837788e-12       5.631307465753e-16 
   59       1.000608565131e-10      -7.627212012882e-16      -2.310955591899e-13       0.000000000000e+00       1.878106476534e-11       2.310955252441e-12       2.320424584461e-16 
   60       1.015652171620e-10      -5.282247304144e-16      -2.465265116613e-13       0.000000000000e+00       1.805261902257e-11       2.232041382746e-12      -1.421788424966e-16 
   61       1.030828873528e-10      -2.708370324402e-16      -2.626290907808e-13       0.000000000000e+00       1.735746724833e-11       2.156530409976e-12      -4.964681761510e-16 
   62       1.046142650493e-10       9.501998745936e-18      -2.794197325520e-13       0.000000000000e+00       1.669485667403e-11       2.084335745116e-12      -8.175123777593e-16 
   63       1.061600305238e-10       3.127935900061e-16      -2.969085763304e-13       0.000000000000e+00       1.606477631858e-11       2.015456188741e-12      -1.105674270896e-15 
   64       1.077205830454e-10       6.389357292201e-16      -3.151051259855e-13       0.000000000000e+00       1.546648226992e-11       1.949810664154e-12      -1.361810712353e-15 
   65       1.092960202203e-10       9.877185075718e-16      -3.340182207212e-13       0.000000000000e+00       1.489845612777e-11       1.887233665859e-12      -1.587298640040e-15 
   66       1.108861173319e-10       1.358819461835e-15      -3.536560058964e-13       0.000000000000e+00       1.435836344634e-11       1.827470708027e-12      -1.784061120884e-15 
   67       1.124903066808e-10       1.751798916660e-15      -3.740259038450e-13       0.000000000000e+00       1.384301217711e-11       1.770173772971e-12      -1.954593398734e-15 
   68       1.141079658401e-10       2.166184440484e-15      -3.951329926979e-13       0.000000000000e+00       1.334919500581e-11       1.714996980180e-12      -2.101883737501e-15 
   69       1.157393964275e-10       2.601754496600e-15      -4.169748266193e-13       0.000000000000e+00       1.287650745325e-11       1.661916277803e-12      -2.229099100722e-15 
   70       1.173850074550e-10       3.058304164023e-15      -4.395455087722e-13       0.000000000000e+00       1.242502876430e-11       1.610966650144e-12      -2.339882283334e-15 
   71       1.190450114310e-10       3.535558773291e-15      -4.628371218098e-13       0.000000000000e+00       1.199446992578e-11       1.562145675922e-12      -2.438474419694e-15 
   72       1.207194116006e-10       4.033171527876e-15      -4.868396579797e-13       0.000000000000e+00       1.158415471516e-11       1.515411539922e-12      -2.529738340823e-15 
   73       1.224079891871e-10       4.550721125586e-15      -5.115409492284e-13       0.000000000000e+00       1.119300074934e-11       1.470681044656e-12      -2.619181931644e-15 
   74       1.241102906320e-10       5.087709379978e-15      -5.369265973054e-13       0.000000000000e+00       1.081950053332e-11       1.427827622018e-12      -2.712981488230e-15 
   75       1.258256148359e-10       5.643558841759e-15      -5.629799038677e-13       0.000000000000e+00       1.046170250895e-11       1.386679344943e-12      -2.818005075043e-15 
   76       1.275532587791e-10       6.217616395965e-15      -5.896818986749e-13       0.000000000000e+00       1.011768973598e-11       1.347065088268e-12      -2.939842567170e-15 
   77       1.292933342965e-10       6.809170068730e-15      -6.170115846189e-13       0.000000000000e+00       9.787158602506e-12       1.308967124695e-12      -3.076429417278e-15 
   78       1.310460777563e-10       7.417430978128e-15      -6.449456105979e-13       0.000000000000e+00       9.470094906883e-12       1.272392872302e-12      -3.223297185125e-15 
   79       1.328115975532e-10       8.041525410737e-15      -6.734581106028e-13       0.000000000000e+00       9.166293159398e-12       1.237328229135e-12      -3.375446467678e-15 
   80       1.345898666483e-10       8.680492565582e-15      -7.025206358334e-13       0.000000000000e+00       8.875347835364e-12       1.203736572198e-12      -3.527329381820e-15 
   81       1.363807151069e-10       9.333282298082e-15      -7.321020868131e-13       0.000000000000e+00       8.596644628194e-12       1.171557756455e-12      -3.672832047053e-15 
