# dimensionless [l(l+1)/2pi] C_l's for adiabatic decaying scalar (ADDCS) mode
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.802820611650e-07       5.227871105429e-11       2.327906618732e-09       0.000000000000e+00       1.236579480262e-08       3.771551310658e-08       6.469254611486e-10 
    3       8.251826813231e-09       7.956532841230e-12       2.303675812593e-10       0.000000000000e+00       1.511421320301e-09       1.539852379379e-09       5.631429848776e-11 
    4       1.972827715924e-09       2.408922489749e-12       5.325383581084e-11       0.000000000000e+00       8.416733690832e-10       2.941172119092e-10       1.177490277559e-11 
    5       5.202530559859e-10       1.103235313432e-12       2.101137272022e-11       0.000000000000e+00       6.258420649240e-10       1.114095173745e-10       3.668801717888e-12 
    6       2.336331807120e-10       6.233306103256e-13       1.069896410545e-11       0.000000000000e+00       5.025747637252e-10       6.432922088126e-11       1.327829761201e-12 
    7       1.301596338374e-10       3.977568669372e-13       6.428358595992e-12       0.000000000000e+00       4.167331269048e-10       4.538961025732e-11       4.760937867578e-13 
    8       8.427104649000e-11       2.722907168466e-13       4.296030859207e-12       0.000000000000e+00       3.521085257344e-10       3.535487917195e-11       1.322546721675e-13 
    9       6.142481200604e-11       1.939597643317e-13       3.073776171468e-12       0.000000000000e+00       3.015435972230e-10       2.907548193726e-11      -5.077020302185e-15 
   10       4.883375426059e-11       1.413328292642e-13       2.292674916478e-12       0.000000000000e+00       2.610464945866e-10       2.474599479161e-11      -5.115792441444e-14 
   11       4.133190782507e-11       1.047269852746e-13       1.757883109908e-12       0.000000000000e+00       2.243575507576e-10       2.116296492827e-11      -7.176985847250e-14 
